Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
FashionMNIST,SGD,0.9059,331.36885476112366,0.2767029789798677,0.8570224923790932
FashionMNIST,Adam,0.9117,385.2133173942566,0.2515438306989319,0.9958144240382834
FashionMNIST,RMSProp,0.9092,532.9764564037323,0.2709214712924032,0.9103014291670818
FashionMNIST,SISA,0.879,3547.4413335323334,0.354780644574698,0.0
