Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
CIFAR10,SGD,0.7693,616.7362716197968,0.6688611469686488,0.9680101646841527
CIFAR10,Adam,0.7315,645.4087193012238,0.8064606959557594,0.6324519704298998
CIFAR10,RMSProp,0.7333,420.31268978118896,0.8067607755398811,0.6814020582461947
CIFAR10,SISA,0.6825,1955.3595249652863,0.9654194221375094,0.0
