Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
MNIST,SGD,0.9835,330.46847915649414,0.05773521180556063,0.7616561518234362
MNIST,Adam,0.9866,332.6360402107239,0.050066705864877985,0.9993546799354646
MNIST,RMSProp,0.983,328.9868869781494,0.059307524037839315,0.7224553576571475
MNIST,SISA,0.9779,1742.6858532428741,0.09742511004070811,0.0
