Dataset,Algorithm,Remaining_Accuracy,Deleted_Accuracy,Unlearning_Time,Score
MNIST,Retraining,0.9844873949579832,0.982,372.08975291252136,0.6206564792672358
MNIST,FineTuning,0.987563025210084,0.978,284.8808307647705,0.75
MNIST,Influence,0.9855294117647059,0.986,422.8348569869995,0.59101681568497
MNIST,SISA,0.9705378151260504,0.958,3363.0273230075836,0.35
