Dataset,Algorithm,Accuracy,Training_Time,Loss,Score
CIFAR100,SGD,0.4412,658.729218006134,2.1783560275116844,1.0
CIFAR100,Adam,0.4129,840.8853614330292,2.2916135066915353,0.8153877478638554
CIFAR100,RMSProp,0.4036,759.1601538658142,2.366038121225889,0.7592813560882453
CIFAR100,SISA,0.3144,3032.158445119858,2.7174453012502875,0.0
